 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.47165906902E+07    2.07464418979E+07
  21.00   24.00    7.96679801233E+06    1.09504739641E+07
  24.00   28.00    4.28201574911E+06    5.87837623564E+06
  28.00   32.00    2.26198755429E+06    3.11160421999E+06
  32.00   37.00    1.21243897008E+06    1.66043269164E+06
  37.00   43.00    6.18622734778E+05    8.48538822227E+05
  43.00   49.00    3.21581845262E+05    4.36901469051E+05
  49.00   56.00    1.72739907772E+05    2.34965003135E+05
  56.00   64.00    9.13154116128E+04    1.24459816760E+05
  64.00   74.00    4.65423973800E+04    6.29616706657E+04
  74.00   84.00    2.37751569433E+04    3.20835672693E+04
  84.00   97.00    1.21313203830E+04    1.63876825345E+04
  97.00   114.0    5.61074182235E+03    7.55815757888E+03
  114.0   133.0    2.48189606424E+03    3.33888489719E+03
  133.0   153.0    1.14288678560E+03    1.53864090643E+03
  153.0   174.0    5.56385226354E+02    7.47625743216E+02
  174.0   196.0    2.83575758888E+02    3.81389924374E+02
  196.0   220.0    1.48424731828E+02    1.99667141840E+02
  220.0   245.0    7.93331494446E+01    1.06796317303E+02
  245.0   272.0    4.33556169351E+01    5.84425157791E+01
  272.0   300.0    2.41176236995E+01    3.25122929513E+01
  300.0   330.0    1.36651164226E+01    1.84182326033E+01
  330.0   362.0    7.79646545407E+00    1.05316176146E+01
  362.0   395.0    4.51354911534E+00    6.10584922858E+00
  395.0   430.0    2.65245907704E+00    3.59308931898E+00
  430.0   468.0    1.55723822633E+00    2.11286750743E+00
  468.0   507.0    9.18867942018E-01    1.24985594061E+00
  507.0   548.0    5.49384134731E-01    7.49826562658E-01
  548.0   592.0    3.28329336304E-01    4.48787229128E-01
  592.0   638.0    1.96020876096E-01    2.68724612787E-01
  638.0   686.0    1.17648612714E-01    1.61643246454E-01
  686.0   737.0    7.06172504141E-02    9.74492137555E-02
  737.0   790.0    4.23386689834E-02    5.85483846098E-02
  790.0   846.0    2.53683163053E-02    3.52291378861E-02
  846.0   905.0    1.51131739019E-02    2.10612970184E-02
  905.0   967.0    8.95055997404E-03    1.25301078682E-02
  967.0   1032.    5.26807895240E-03    7.40354447427E-03
  1032.   1101.    3.06832611811E-03    4.33429960458E-03
  1101.   1172.    1.77188777503E-03    2.51473996954E-03
  1172.   1248.    1.01233045056E-03    1.44336431044E-03
  1248.   1327.    5.67892130907E-04    8.14252212207E-04
  1327.   1410.    3.14185054478E-04    4.53047432841E-04
  1410.   1497.    1.70417005970E-04    2.47393260595E-04
  1497.   1588.    9.04805657375E-05    1.32039621790E-04
  1588.   1784.    3.48857984331E-05    5.13495469979E-05
  1784.   2116.    6.19935153191E-06    9.26984510425E-06
  2116.   2500.    4.92907255250E-07    7.55208804421E-07
  2500.   3000.    1.87643509890E-08    2.97442997545E-08
