 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.63837894511E+07    2.09824397977E+07
  21.00   24.00    8.68113247094E+06    1.09860955676E+07
  24.00   28.00    4.58038366455E+06    5.86402583164E+06
  28.00   32.00    2.37948791226E+06    3.09462489537E+06
  32.00   37.00    1.25719793795E+06    1.64558674075E+06
  37.00   43.00    6.32375879113E+05    8.38384944355E+05
  43.00   49.00    3.24839330398E+05    4.30801164929E+05
  49.00   56.00    1.72705271351E+05    2.31318425687E+05
  56.00   64.00    9.04257395793E+04    1.22328479063E+05
  64.00   74.00    4.56764746459E+04    6.18389373503E+04
  74.00   84.00    2.31283940527E+04    3.14657728445E+04
  84.00   97.00    1.17030084992E+04    1.60457204907E+04
  97.00   114.0    5.36358413378E+03    7.38587413799E+03
  114.0   133.0    2.35084272591E+03    3.25562641497E+03
  133.0   153.0    1.07354010906E+03    1.49673312365E+03
  153.0   174.0    5.18789889233E+02    7.25701576648E+02
  174.0   196.0    2.62686936629E+02    3.69399932859E+02
  196.0   220.0    1.36685953200E+02    1.93009957558E+02
  220.0   245.0    7.26836440509E+01    1.03064535629E+02
  245.0   272.0    3.95490879073E+01    5.63279949727E+01
  272.0   300.0    2.19209030360E+01    3.13147492480E+01
  300.0   330.0    1.23853508839E+01    1.77352412635E+01
  330.0   362.0    7.05150655727E+00    1.01432241296E+01
  362.0   395.0    4.07697480944E+00    5.88566163509E+00
  395.0   430.0    2.39474772209E+00    3.46876953493E+00
  430.0   468.0    1.40636309534E+00    2.04432189111E+00
  468.0   507.0    8.30705812596E-01    1.21263133575E+00
  507.0   548.0    4.97517776829E-01    7.29877355324E-01
  548.0   592.0    2.98027305891E-01    4.38589990891E-01
  592.0   638.0    1.78444348916E-01    2.63783246075E-01
  638.0   686.0    1.07455417951E-01    1.59447436562E-01
  686.0   737.0    6.47374981994E-02    9.66149689639E-02
  737.0   790.0    3.89686694290E-02    5.83683351116E-02
  790.0   846.0    2.34462034200E-02    3.53192629189E-02
  846.0   905.0    1.40271683714E-02    2.12383672317E-02
  905.0   967.0    8.34201541449E-03    1.27081625914E-02
  967.0   1032.    4.92929447265E-03    7.55122153651E-03
  1032.   1101.    2.88136240413E-03    4.44425598413E-03
  1101.   1172.    1.66904316701E-03    2.59157255362E-03
  1172.   1248.    9.55843413465E-04    1.49402810681E-03
  1248.   1327.    5.37001788985E-04    8.45972323918E-04
  1327.   1410.    2.97191740428E-04    4.71992713089E-04
  1410.   1497.    1.61015905689E-04    2.58088385041E-04
  1497.   1588.    8.52362205529E-05    1.37751509995E-04
  1588.   1784.    3.25996092779E-05    5.33627371208E-05
  1784.   2116.    5.63840115855E-06    9.45036636912E-06
  2116.   2500.    4.14509984431E-07    7.20237198207E-07
  2500.   3000.    1.34197130530E-08    2.43437556749E-08
