 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.81010207129E+07    2.17859803365E+07
  21.00   24.00    9.74335034584E+06    1.13966504050E+07
  24.00   28.00    5.21345311477E+06    6.11479814872E+06
  28.00   32.00    2.74378328671E+06    3.24137007490E+06
  32.00   37.00    1.46638115075E+06    1.72882120355E+06
  37.00   43.00    7.46338774550E+05    8.85441368261E+05
  43.00   49.00    3.87192289066E+05    4.55395977542E+05
  49.00   56.00    2.07643668429E+05    2.45407284384E+05
  56.00   64.00    1.09623759504E+05    1.30310401684E+05
  64.00   74.00    5.57855630374E+04    6.59030177340E+04
  74.00   84.00    2.84331561504E+04    3.35856267290E+04
  84.00   97.00    1.44830842249E+04    1.71804616320E+04
  97.00   114.0    6.68281327138E+03    7.92400749275E+03
  114.0   133.0    2.94809077136E+03    3.50090573351E+03
  133.0   153.0    1.35402109254E+03    1.61388674808E+03
  153.0   174.0    6.57290761724E+02    7.83503312949E+02
  174.0   196.0    3.34068329502E+02    3.99496817705E+02
  196.0   220.0    1.74407174681E+02    2.09025000766E+02
  220.0   245.0    9.30213483326E+01    1.11771468503E+02
  245.0   272.0    5.07522187616E+01    6.11774724128E+01
  272.0   300.0    2.82001461487E+01    3.40450865549E+01
  300.0   330.0    1.59694415746E+01    1.92988885366E+01
  330.0   362.0    9.11155664078E+00    1.10542980903E+01
  362.0   395.0    5.27838828475E+00    6.42191180632E+00
  395.0   430.0    3.10610710482E+00    3.78870919632E+00
  430.0   468.0    1.82740526084E+00    2.23534006831E+00
  468.0   507.0    1.08133131241E+00    1.32774990452E+00
  507.0   548.0    6.48750098350E-01    8.00425204094E-01
  548.0   592.0    3.89308097645E-01    4.81500895410E-01
  592.0   638.0    2.33524347638E-01    2.90007616758E-01
  638.0   686.0    1.40886227635E-01    1.75523424253E-01
  686.0   737.0    8.50414011554E-02    1.06554215538E-01
  737.0   790.0    5.12938416128E-02    6.44589227884E-02
  790.0   846.0    3.09274277401E-02    3.90779911015E-02
  846.0   905.0    1.85449460973E-02    2.35393853785E-02
  905.0   967.0    1.10554565748E-02    1.41151406902E-02
  967.0   1032.    6.54957013215E-03    8.40432665661E-03
  1032.   1101.    3.83911036836E-03    4.95850277221E-03
  1101.   1172.    2.23041304718E-03    2.89847223752E-03
  1172.   1248.    1.28136623407E-03    1.67522488773E-03
  1248.   1327.    7.22329121369E-04    9.51288232846E-04
  1327.   1410.    4.01198549501E-04    5.32390248642E-04
  1410.   1497.    2.18210122680E-04    2.92125002068E-04
  1497.   1588.    1.15991024284E-04    1.56444643937E-04
  1588.   1784.    4.46286995916E-05    6.09188089122E-05
  1784.   2116.    7.80326044443E-06    1.08946896777E-05
  2116.   2500.    5.83146526871E-07    8.43018148726E-07
  2500.   3000.    1.92420396849E-08    2.90260602290E-08
