 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.64508055040E+07    2.10862598199E+07
  21.00   24.00    8.70900712292E+06    1.10255063427E+07
  24.00   28.00    4.59374429605E+06    5.88163049187E+06
  28.00   32.00    2.38620508585E+06    3.10353314186E+06
  32.00   37.00    1.26139301445E+06    1.65105896871E+06
  37.00   43.00    6.35359094165E+05    8.42518532452E+05
  43.00   49.00    3.26646807649E+05    4.33323067132E+05
  49.00   56.00    1.73838887376E+05    2.32977123221E+05
  56.00   64.00    9.11019435786E+04    1.23347888549E+05
  64.00   74.00    4.60392260711E+04    6.24060549499E+04
  74.00   84.00    2.33228740041E+04    3.17789103114E+04
  84.00   97.00    1.18048529993E+04    1.62157721436E+04
  97.00   114.0    5.40907247878E+03    7.46522329617E+03
  114.0   133.0    2.36822098512E+03    3.28828147598E+03
  133.0   153.0    1.07949893271E+03    1.50935220741E+03
  153.0   174.0    5.20452058442E+02    7.30253312328E+02
  174.0   196.0    2.62829597698E+02    3.70778116285E+02
  196.0   220.0    1.36353024887E+02    1.93166712867E+02
  220.0   245.0    7.22683061791E+01    1.02811989596E+02
  245.0   272.0    3.91869929257E+01    5.59919743174E+01
  272.0   300.0    2.16428757416E+01    3.10154027089E+01
  300.0   330.0    1.21849231648E+01    1.75012765584E+01
  330.0   362.0    6.91294681590E+00    9.97261856125E+00
  362.0   395.0    3.98309828429E+00    5.76590962701E+00
  395.0   430.0    2.33180816119E+00    3.38628276789E+00
  430.0   468.0    1.36491948835E+00    1.98873550807E+00
  468.0   507.0    8.03684762755E-01    1.17568175564E+00
  507.0   548.0    4.79923714721E-01    7.05423279987E-01
  548.0   592.0    2.86690171715E-01    4.22607859648E-01
  592.0   638.0    1.71205647404E-01    2.53447434965E-01
  638.0   686.0    1.02845723859E-01    1.52795187764E-01
  686.0   737.0    6.18193054120E-02    9.23523522548E-02
  737.0   790.0    3.71310563130E-02    5.56593037962E-02
  790.0   846.0    2.22942130922E-02    3.36033198158E-02
  846.0   905.0    1.33113348635E-02    2.01622470157E-02
  905.0   967.0    7.90101965021E-03    1.20385946574E-02
  967.0   1032.    4.65999834169E-03    7.13915915419E-03
  1032.   1101.    2.71900817354E-03    4.19344602199E-03
  1101.   1172.    1.57229667727E-03    2.44081606100E-03
  1172.   1248.    8.99038333624E-04    1.40476826984E-03
  1248.   1327.    5.04344820757E-04    7.94193425482E-04
  1327.   1410.    2.78734403785E-04    4.42447693631E-04
  1410.   1497.    1.50816594240E-04    2.41605933316E-04
  1497.   1588.    7.97339965644E-05    1.28769565734E-04
  1588.   1784.    3.04434767579E-05    4.97907096287E-05
  1784.   2116.    5.25696676090E-06    8.79620741474E-06
  2116.   2500.    3.86938694168E-07    6.69058368437E-07
  2500.   3000.    1.30246768245E-08    2.33129675228E-08
