 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.40314310995E+07    1.97847225903E+07
  21.00   24.00    7.59622650885E+06    1.04448586090E+07
  24.00   28.00    4.08879139354E+06    5.61320408459E+06
  28.00   32.00    2.16568484221E+06    2.97940720772E+06
  32.00   37.00    1.16484972898E+06    1.59495799717E+06
  37.00   43.00    5.96931501120E+05    8.18746860458E+05
  43.00   49.00    3.11729366158E+05    4.23425628383E+05
  49.00   56.00    1.68181899216E+05    2.28732227356E+05
  56.00   64.00    8.92932032207E+04    1.21683907633E+05
  64.00   74.00    4.57011282909E+04    6.18303555305E+04
  74.00   84.00    2.34288925896E+04    3.16204861876E+04
  84.00   97.00    1.19880431129E+04    1.61987837869E+04
  97.00   114.0    5.55603702156E+03    7.48741516544E+03
  114.0   133.0    2.45983988922E+03    3.31128838351E+03
  133.0   153.0    1.13218970086E+03    1.52541981724E+03
  153.0   174.0    5.50343894500E+02    7.40205477640E+02
  174.0   196.0    2.79882253981E+02    3.76822324515E+02
  196.0   220.0    1.46101693509E+02    1.96773855488E+02
  220.0   245.0    7.78662460177E+01    1.04954029053E+02
  245.0   272.0    4.24316546629E+01    5.72707144608E+01
  272.0   300.0    2.35398979713E+01    3.17765291186E+01
  300.0   330.0    1.33067585625E+01    1.79582349036E+01
  330.0   362.0    7.57785149989E+00    1.02491279951E+01
  362.0   395.0    4.38137634092E+00    5.93413753659E+00
  395.0   430.0    2.57322802150E+00    3.48949029558E+00
  430.0   468.0    1.51090343164E+00    2.05189792986E+00
  468.0   507.0    8.92305492219E-01    1.21460992367E+00
  507.0   548.0    5.34366410173E-01    7.29741704846E-01
  548.0   592.0    3.20115381658E-01    4.37690888604E-01
  592.0   638.0    1.91709047139E-01    2.62823181705E-01
  638.0   686.0    1.15489108249E-01    1.58641194743E-01
  686.0   737.0    6.96181607559E-02    9.60208532241E-02
  737.0   790.0    4.19383852957E-02    5.79463733380E-02
  790.0   846.0    2.52566476672E-02    3.50350287985E-02
  846.0   905.0    1.51275424278E-02    2.10517520399E-02
  905.0   967.0    9.00849919339E-03    1.25905280353E-02
  967.0   1032.    5.33141795167E-03    7.47908504749E-03
  1032.   1101.    3.12199623527E-03    4.40141006637E-03
  1101.   1172.    1.81213377425E-03    2.56679479137E-03
  1172.   1248.    1.04027629796E-03    1.48035836766E-03
  1248.   1327.    5.86017003773E-04    8.38796645493E-04
  1327.   1410.    3.25281670491E-04    4.68427071323E-04
  1410.   1497.    1.76806777957E-04    2.56466313370E-04
  1497.   1588.    9.39197968571E-05    1.37060604842E-04
  1588.   1784.    3.61002029415E-05    5.32103941585E-05
  1784.   2116.    6.30663296279E-06    9.47146748682E-06
  2116.   2500.    4.71751030493E-07    7.28639596803E-07
  2500.   3000.    1.61659342836E-08    2.57335531176E-08
