 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.96054710949E+07    2.34342813672E+07
  21.00   24.00    1.07680479491E+07    1.21305453466E+07
  24.00   28.00    5.86864901327E+06    6.49462983637E+06
  28.00   32.00    3.14439173975E+06    3.43497968970E+06
  32.00   37.00    1.70784940200E+06    1.82707434485E+06
  37.00   43.00    8.83405196093E+05    9.35775112984E+05
  43.00   49.00    4.65103060284E+05    4.79101657675E+05
  49.00   56.00    2.52622407298E+05    2.58262213474E+05
  56.00   64.00    1.34958749267E+05    1.37260820677E+05
  64.00   74.00    6.94746917254E+04    6.91905873905E+04
  74.00   84.00    3.57975464318E+04    3.52393764209E+04
  84.00   97.00    1.83972521908E+04    1.80286231896E+04
  97.00   114.0    8.56359781383E+03    8.29808343360E+03
  114.0   133.0    3.80578914859E+03    3.65864280017E+03
  133.0   153.0    1.75685380482E+03    1.68339571683E+03
  153.0   174.0    8.55876599656E+02    8.14608978720E+02
  174.0   196.0    4.35955976366E+02    4.14461692809E+02
  196.0   220.0    2.27835804612E+02    2.16245294782E+02
  220.0   245.0    1.21526257666E+02    1.15290389595E+02
  245.0   272.0    6.62585786797E+01    6.29217184455E+01
  272.0   300.0    3.67696478795E+01    3.48872836016E+01
  300.0   330.0    2.07881808879E+01    1.97003175051E+01
  330.0   362.0    1.18383980363E+01    1.12542590165E+01
  362.0   395.0    6.84427877834E+00    6.51908020656E+00
  395.0   430.0    4.01923173361E+00    3.83464796403E+00
  430.0   468.0    2.35958535641E+00    2.25599496023E+00
  468.0   507.0    1.39332381601E+00    1.33698613413E+00
  507.0   548.0    8.34324513744E-01    8.04702970150E-01
  548.0   592.0    4.99803663955E-01    4.82881336293E-01
  592.0   638.0    2.99349715066E-01    2.90361939663E-01
  638.0   686.0    1.80375256926E-01    1.75430873143E-01
  686.0   737.0    1.08772693697E-01    1.06432830265E-01
  737.0   790.0    6.55596161502E-02    6.42880439710E-02
  790.0   846.0    3.95101197711E-02    3.89543834655E-02
  846.0   905.0    2.36865404455E-02    2.34465639359E-02
  905.0   967.0    1.41215204838E-02    1.40576030983E-02
  967.0   1032.    8.36904588939E-03    8.36816631984E-03
  1032.   1101.    4.90887036545E-03    4.93892019176E-03
  1101.   1172.    2.85469968488E-03    2.88796098749E-03
  1172.   1248.    1.64235842988E-03    1.67022654656E-03
  1248.   1327.    9.27487037445E-04    9.49581807876E-04
  1327.   1410.    5.16237622758E-04    5.32240723785E-04
  1410.   1497.    2.81447210605E-04    2.92669335506E-04
  1497.   1588.    1.49994161811E-04    1.56993924226E-04
  1588.   1784.    5.79315871799E-05    6.13302756359E-05
  1784.   2116.    1.02087540029E-05    1.10507632934E-05
  2116.   2500.    7.73112012092E-07    8.66545557763E-07
  2500.   3000.    2.68683683307E-08    3.12967361962E-08
