 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.13343047611E+07    2.25847817396E+07
  21.00   24.00    1.12123702667E+07    1.17379348053E+07
  24.00   28.00    5.87463904912E+06    6.28023186276E+06
  28.00   32.00    3.03175082811E+06    3.32734565451E+06
  32.00   37.00    1.59326284429E+06    1.77146054042E+06
  37.00   43.00    7.97776170289E+05    9.06305670337E+05
  43.00   49.00    4.07921023633E+05    4.65512399943E+05
  49.00   56.00    2.16049890844E+05    2.50704004175E+05
  56.00   64.00    1.12696362193E+05    1.32930852462E+05
  64.00   74.00    5.66897890911E+04    6.71788132311E+04
  74.00   84.00    2.85922492401E+04    3.42095339826E+04
  84.00   97.00    1.44128116029E+04    1.74690603061E+04
  97.00   114.0    6.57493923425E+03    8.03959239545E+03
  114.0   133.0    2.86591580520E+03    3.54099022247E+03
  133.0   153.0    1.30117732525E+03    1.62566663178E+03
  153.0   174.0    6.25148346086E+02    7.86148135253E+02
  174.0   196.0    3.14727423150E+02    3.99172164349E+02
  196.0   220.0    1.62817560782E+02    2.07923860626E+02
  220.0   245.0    8.60700101554E+01    1.10652119857E+02
  245.0   272.0    4.65590303477E+01    6.02583040214E+01
  272.0   300.0    2.56570273166E+01    3.33684674240E+01
  300.0   330.0    1.44149838298E+01    1.88217089089E+01
  330.0   362.0    8.16208125929E+00    1.07255181952E+01
  362.0   395.0    4.69416833281E+00    6.20056291782E+00
  395.0   430.0    2.74336184740E+00    3.64109858804E+00
  430.0   468.0    1.60316341863E+00    2.13819468895E+00
  468.0   507.0    9.42473207636E-01    1.26409910487E+00
  507.0   548.0    5.61967190796E-01    7.58633762576E-01
  548.0   592.0    3.35221105843E-01    4.54429427638E-01
  592.0   638.0    1.99911640734E-01    2.72565890270E-01
  638.0   686.0    1.19932348075E-01    1.64324864398E-01
  686.0   737.0    7.19990256632E-02    9.93568921877E-02
  737.0   790.0    4.31928571484E-02    5.98811205580E-02
  790.0   846.0    2.59035861095E-02    3.61651867193E-02
  846.0   905.0    1.54489007954E-02    2.17049782079E-02
  905.0   967.0    9.15973062370E-03    1.29651992727E-02
  967.0   1032.    5.39664912165E-03    7.69128514176E-03
  1032.   1101.    3.14557676340E-03    4.52013314406E-03
  1101.   1172.    1.81714543586E-03    2.63227318849E-03
  1172.   1248.    1.03803647679E-03    1.51569485803E-03
  1248.   1327.    5.81767693119E-04    8.57472541212E-04
  1327.   1410.    3.21227880303E-04    4.78027018432E-04
  1410.   1497.    1.73653063155E-04    2.61253199280E-04
  1497.   1588.    9.17271215935E-05    1.39333589885E-04
  1588.   1784.    3.49828241115E-05    5.39354292446E-05
  1784.   2116.    6.03001610170E-06    9.54775559132E-06
  2116.   2500.    4.42841462520E-07    7.28292070927E-07
  2500.   3000.    1.48748725890E-08    2.54490431731E-08
