 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.45997848633E+07    2.29544213520E+07
  21.00   24.00    1.30918229932E+07    1.18142659108E+07
  24.00   28.00    6.93721931708E+06    6.34324182885E+06
  28.00   32.00    3.61919150439E+06    3.37371509548E+06
  32.00   37.00    1.92038279095E+06    1.79827383697E+06
  37.00   43.00    9.70754795706E+05    9.24121264121E+05
  43.00   49.00    5.00657255171E+05    4.73912017320E+05
  49.00   56.00    2.67155443284E+05    2.56189578661E+05
  56.00   64.00    1.40343213451E+05    1.36423112760E+05
  64.00   74.00    7.10799600928E+04    6.89016689913E+04
  74.00   84.00    3.60786041594E+04    3.51559727359E+04
  84.00   97.00    1.82908761284E+04    1.80145296689E+04
  97.00   114.0    8.39333233467E+03    8.30533203647E+03
  114.0   133.0    3.67920637944E+03    3.66748353427E+03
  133.0   153.0    1.67844128240E+03    1.68912036129E+03
  153.0   174.0    8.09561705816E+02    8.18140231800E+02
  174.0   196.0    4.08889011172E+02    4.16459143697E+02
  196.0   220.0    2.12113307457E+02    2.17364637770E+02
  220.0   245.0    1.12396296840E+02    1.15908333786E+02
  245.0   272.0    6.09238358431E+01    6.32534984297E+01
  272.0   300.0    3.36323821751E+01    3.50751783791E+01
  300.0   330.0    1.89251761272E+01    1.98071125043E+01
  330.0   362.0    1.07308246189E+01    1.13103766980E+01
  362.0   395.0    6.17927110446E+00    6.54929001739E+00
  395.0   430.0    3.61545135159E+00    3.85133958740E+00
  430.0   468.0    2.11515138968E+00    2.26498501846E+00
  468.0   507.0    1.24483205900E+00    1.34148667782E+00
  507.0   548.0    7.43060883820E-01    8.06767684667E-01
  548.0   592.0    4.43745968603E-01    4.83888271520E-01
  592.0   638.0    2.64948644369E-01    2.90759848542E-01
  638.0   686.0    1.59153091392E-01    1.75563097595E-01
  686.0   737.0    9.56756160897E-02    1.06399980205E-01
  737.0   790.0    5.74829563697E-02    6.42242890001E-02
  790.0   846.0    3.45301433525E-02    3.88765751446E-02
  846.0   905.0    2.06309905048E-02    2.33793870301E-02
  905.0   967.0    1.22565248401E-02    1.40005232843E-02
  967.0   1032.    7.23693685644E-03    8.32495007447E-03
  1032.   1101.    4.22833511185E-03    4.90648051630E-03
  1101.   1172.    2.44896984969E-03    2.86517967832E-03
  1172.   1248.    1.40290599766E-03    1.65457938586E-03
  1248.   1327.    7.88670504107E-04    9.39126132482E-04
  1327.   1410.    4.36897114200E-04    5.25386818113E-04
  1410.   1497.    2.37014523460E-04    2.88278613626E-04
  1497.   1588.    1.25664419550E-04    1.54318379580E-04
  1588.   1784.    4.81832265744E-05    6.00811461302E-05
  1784.   2116.    8.38498135923E-06    1.07511233554E-05
  2116.   2500.    6.24177080018E-07    8.33391642391E-07
  2500.   3000.    2.12917996727E-08    2.96590187594E-08
