 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.45025868980E+07    2.07404709077E+07
  21.00   24.00    8.04391394546E+06    1.09739249888E+07
  24.00   28.00    4.42350350260E+06    5.92982906459E+06
  28.00   32.00    2.39061063512E+06    3.16009708578E+06
  32.00   37.00    1.30849315842E+06    1.69631096959E+06
  37.00   43.00    6.82086201940E+05    8.73997884907E+05
  43.00   49.00    3.61647704030E+05    4.52160905950E+05
  49.00   56.00    1.97649493589E+05    2.44800956669E+05
  56.00   64.00    1.06221297670E+05    1.30570674491E+05
  64.00   74.00    5.50027663016E+04    6.63221344454E+04
  74.00   84.00    2.84985274570E+04    3.39431254037E+04
  84.00   97.00    1.47216289101E+04    1.74138739020E+04
  97.00   114.0    6.89059901986E+03    8.05170073793E+03
  114.0   133.0    3.07921077081E+03    3.56275286065E+03
  133.0   153.0    1.42844497998E+03    1.64282563895E+03
  153.0   174.0    6.98872782722E+02    7.97193988882E+02
  174.0   196.0    3.57333052497E+02    4.06104050998E+02
  196.0   220.0    1.87389837371E+02    2.12149770941E+02
  220.0   245.0    1.00270120518E+02    1.13206708665E+02
  245.0   272.0    5.48285801471E+01    6.18132432216E+01
  272.0   300.0    3.05089961768E+01    3.43016659030E+01
  300.0   330.0    1.72918041996E+01    1.93862042794E+01
  330.0   362.0    9.87060389314E+00    1.10728846523E+01
  362.0   395.0    5.71924516337E+00    6.41450102731E+00
  395.0   430.0    3.36549646939E+00    3.77350899446E+00
  430.0   468.0    1.97971085044E+00    2.21998828969E+00
  468.0   507.0    1.17121922280E+00    1.31517293260E+00
  507.0   548.0    7.02568301631E-01    7.91022776251E-01
  548.0   592.0    4.21589854591E-01    4.74686356428E-01
  592.0   638.0    2.52918031971E-01    2.85304084323E-01
  638.0   686.0    1.52634619042E-01    1.72340602234E-01
  686.0   737.0    9.21814842678E-02    1.04464203434E-01
  737.0   790.0    5.56395584047E-02    6.30926513074E-02
  790.0   846.0    3.35778936601E-02    3.82007484681E-02
  846.0   905.0    2.01570022651E-02    2.29820669684E-02
  905.0   967.0    1.20327847879E-02    1.37680685975E-02
  967.0   1032.    7.14006804955E-03    8.19124272423E-03
  1032.   1101.    4.19309160460E-03    4.83016427764E-03
  1101.   1172.    2.44130741637E-03    2.82225401582E-03
  1172.   1248.    1.40612043266E-03    1.63108542183E-03
  1248.   1327.    7.94958653491E-04    9.26433117428E-04
  1327.   1410.    4.42948017337E-04    5.18744174822E-04
  1410.   1497.    2.41743195099E-04    2.84882877602E-04
  1497.   1588.    1.28965469126E-04    1.52681102485E-04
  1588.   1784.    4.98758097811E-05    5.95471781987E-05
  1784.   2116.    8.80748101924E-06    1.06947498500E-05
  2116.   2500.    6.68734585370E-07    8.34449056277E-07
  2500.   3000.    2.32978696537E-08    2.99783644787E-08
