 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.37718759753E+07    1.94160042517E+07
  21.00   24.00    7.45559940740E+06    1.02516158360E+07
  24.00   28.00    4.00959061326E+06    5.50447472990E+06
  28.00   32.00    2.12035229084E+06    2.91645686888E+06
  32.00   37.00    1.13818086389E+06    1.55832796155E+06
  37.00   43.00    5.81875547290E+05    7.97939827047E+05
  43.00   49.00    3.03173701767E+05    4.11769639107E+05
  49.00   56.00    1.63245559243E+05    2.21946219964E+05
  56.00   64.00    8.65349820026E+04    1.17883173099E+05
  64.00   74.00    4.42469358086E+04    5.98206378414E+04
  74.00   84.00    2.26816269114E+04    3.05835079568E+04
  84.00   97.00    1.16166276962E+04    1.56803469206E+04
  97.00   114.0    5.39771997701E+03    7.26455585497E+03
  114.0   133.0    2.40070315171E+03    3.22633961359E+03
  133.0   153.0    1.11182500069E+03    1.49513740245E+03
  153.0   174.0    5.44427742202E+02    7.30655617943E+02
  174.0   196.0    2.79148042562E+02    3.74923776028E+02
  196.0   220.0    1.47027866081E+02    1.97498485449E+02
  220.0   245.0    7.91118823971E+01    1.06325198346E+02
  245.0   272.0    4.35382679368E+01    5.85863590705E+01
  272.0   300.0    2.43990244957E+01    3.28297369272E+01
  300.0   330.0    1.39322283172E+01    1.87388243495E+01
  330.0   362.0    8.01481678598E+00    1.08025327854E+01
  362.0   395.0    4.68031748154E+00    6.31600350287E+00
  395.0   430.0    2.77528012821E+00    3.74923694728E+00
  430.0   468.0    1.64498765386E+00    2.22539562464E+00
  468.0   507.0    9.80436719288E-01    1.32928216830E+00
  507.0   548.0    5.92256193340E-01    8.05471263872E-01
  548.0   592.0    3.57782902476E-01    4.87163026214E-01
  592.0   638.0    2.16025659652E-01    2.94887934605E-01
  638.0   686.0    1.31167530849E-01    1.79378576540E-01
  686.0   737.0    7.96808947404E-02    1.09398419696E-01
  737.0   790.0    4.83694114618E-02    6.65169438582E-02
  790.0   846.0    2.93543123165E-02    4.05176967200E-02
  846.0   905.0    1.77215433455E-02    2.45338073515E-02
  905.0   967.0    1.06410327075E-02    1.47916229135E-02
  967.0   1032.    6.35345077909E-03    8.86008964466E-03
  1032.   1101.    3.75647467931E-03    5.26241434870E-03
  1101.   1172.    2.20356154050E-03    3.09998082259E-03
  1172.   1248.    1.27981621333E-03    1.80781636008E-03
  1248.   1327.    7.30602177802E-04    1.03724249871E-03
  1327.   1410.    4.11699211988E-04    5.87644347474E-04
  1410.   1497.    2.27699189887E-04    3.27045085549E-04
  1497.   1588.    1.23401124639E-04    1.78180071909E-04
  1588.   1784.    4.90023764988E-05    7.13690116915E-05
  1784.   2116.    9.17308437117E-06    1.35885241704E-05
  2116.   2500.    7.84463091846E-07    1.19492318289E-06
  2500.   3000.    3.23518047000E-08    5.11994309779E-08
