 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.61242053067E+07    2.06816827277E+07
  21.00   24.00    8.53314420978E+06    1.08133520655E+07
  24.00   28.00    4.49688183072E+06    5.76278023357E+06
  28.00   32.00    2.33281266826E+06    3.03531244070E+06
  32.00   37.00    1.23128748178E+06    1.61192645747E+06
  37.00   43.00    6.19150947066E+05    8.20638268656E+05
  43.00   49.00    3.17841882288E+05    4.21235331469E+05
  49.00   56.00    1.68964152021E+05    2.26050920072E+05
  56.00   64.00    8.84881996025E+04    1.19529939983E+05
  64.00   74.00    4.47178206667E+04    6.04155403308E+04
  74.00   84.00    2.26726300595E+04    3.07680799056E+04
  84.00   97.00    1.14962994872E+04    1.57184528020E+04
  97.00   114.0    5.28564767622E+03    7.25580632045E+03
  114.0   133.0    2.32644511788E+03    3.21073161908E+03
  133.0   153.0    1.06754856657E+03    1.48296878169E+03
  153.0   174.0    5.18610331792E+02    7.22712864048E+02
  174.0   196.0    2.64063862906E+02    3.69920721360E+02
  196.0   220.0    1.38207729208E+02    1.94419618951E+02
  220.0   245.0    7.39343738642E+01    1.04445915906E+02
  245.0   272.0    4.04723994040E+01    5.74347703702E+01
  272.0   300.0    2.25685004579E+01    3.21273844012E+01
  300.0   330.0    1.28275165360E+01    1.83072505429E+01
  330.0   362.0    7.34688063950E+00    1.05352664390E+01
  362.0   395.0    4.27243302062E+00    6.14979042310E+00
  395.0   430.0    2.52346836788E+00    3.64515973208E+00
  430.0   468.0    1.48999145447E+00    2.16039196201E+00
  468.0   507.0    8.84732816521E-01    1.28844209885E+00
  507.0   548.0    5.32523833131E-01    7.79501976363E-01
  548.0   592.0    3.20554705798E-01    4.70779255765E-01
  592.0   638.0    1.92860384898E-01    2.84542609530E-01
  638.0   686.0    1.16689703606E-01    1.72831763213E-01
  686.0   737.0    7.06360970639E-02    1.05232190367E-01
  737.0   790.0    4.27256182511E-02    6.38853335852E-02
  790.0   846.0    2.58352331277E-02    3.88498621521E-02
  846.0   905.0    1.55387572278E-02    2.34849641139E-02
  905.0   967.0    9.29429746955E-03    1.41329197012E-02
  967.0   1032.    5.52703146787E-03    8.44974095865E-03
  1032.   1101.    3.25404584995E-03    5.00823120025E-03
  1101.   1172.    1.90037526216E-03    2.94397611379E-03
  1172.   1248.    1.09857688106E-03    1.71291858693E-03
  1248.   1327.    6.24008941518E-04    9.80404021684E-04
  1327.   1410.    3.49765729820E-04    5.53948802405E-04
  1410.   1497.    1.92339349756E-04    3.07382839378E-04
  1497.   1588.    1.03597135971E-04    1.66942455468E-04
  1588.   1784.    4.07619976906E-05    6.65446848988E-05
  1784.   2116.    7.49830915919E-06    1.25484458931E-05
  2116.   2500.    6.22926608317E-07    1.08502737853E-06
  2500.   3000.    2.47105505918E-08    4.53706338169E-08
