 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.78598305895E+07    2.15117741449E+07
  21.00   24.00    9.59857847367E+06    1.12362418419E+07
  24.00   28.00    5.12754486983E+06    6.01790076087E+06
  28.00   32.00    2.69395668167E+06    3.18393328180E+06
  32.00   37.00    1.43762324786E+06    1.69574420830E+06
  37.00   43.00    7.30615605307E+05    8.67086412040E+05
  43.00   49.00    3.78605738437E+05    4.45440348814E+05
  49.00   56.00    2.02883419641E+05    2.39815085439E+05
  56.00   64.00    1.07046425482E+05    1.27256553521E+05
  64.00   74.00    5.44826216837E+04    6.43507134655E+04
  74.00   84.00    2.78060262390E+04    3.28324456533E+04
  84.00   97.00    1.41829389521E+04    1.68170667177E+04
  97.00   114.0    6.56110205113E+03    7.77482137030E+03
  114.0   133.0    2.90520848894E+03    3.44706505153E+03
  133.0   153.0    1.34013541298E+03    1.59572740809E+03
  153.0   174.0    6.53944428590E+02    7.78608216360E+02
  174.0   196.0    3.34266884720E+02    3.99223054554E+02
  196.0   220.0    1.75563664049E+02    2.10121664097E+02
  220.0   245.0    9.42202803996E+01    1.13042612599E+02
  245.0   272.0    5.17287402512E+01    6.22574306670E+01
  272.0   300.0    2.89242930233E+01    3.48616326875E+01
  300.0   330.0    1.64820388850E+01    1.98838545166E+01
  330.0   362.0    9.46303305349E+00    1.14605059425E+01
  362.0   395.0    5.51584598376E+00    6.69844046812E+00
  395.0   430.0    3.26509893675E+00    3.97491266157E+00
  430.0   468.0    1.93211365847E+00    2.35873877094E+00
  468.0   507.0    1.14974680014E+00    1.40881346826E+00
  507.0   548.0    6.93502092259E-01    8.53757821579E-01
  548.0   592.0    4.18347875860E-01    5.16236399532E-01
  592.0   638.0    2.52246306819E-01    3.12490833084E-01
  638.0   686.0    1.52959324261E-01    1.90066010408E-01
  686.0   737.0    9.28017632702E-02    1.15950842188E-01
  737.0   790.0    5.62658628917E-02    7.04917544343E-02
  790.0   846.0    3.41066612549E-02    4.29500483266E-02
  846.0   905.0    2.05672897404E-02    2.60098649540E-02
  905.0   967.0    1.23362419572E-02    1.56865975606E-02
  967.0   1032.    7.35779387454E-03    9.39776427877E-03
  1032.   1101.    4.34579998444E-03    5.58399334831E-03
  1101.   1172.    2.54671213246E-03    3.29052398132E-03
  1172.   1248.    1.47768354101E-03    1.91953629855E-03
  1248.   1327.    8.42757029004E-04    1.10185774959E-03
  1327.   1410.    4.74462639298E-04    6.24574076460E-04
  1410.   1497.    2.62176685789E-04    3.47822804658E-04
  1497.   1588.    1.41962141154E-04    1.89591498283E-04
  1588.   1784.    5.63085318037E-05    7.60062247113E-05
  1784.   2116.    1.05217916509E-05    1.44976042149E-05
  2116.   2500.    8.97775341643E-07    1.27876285986E-06
  2500.   3000.    3.69465271273E-08    5.50255361919E-08
