 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.44116518005E+07    2.06053496401E+07
  21.00   24.00    8.01693656711E+06    1.09227537621E+07
  24.00   28.00    4.41619607249E+06    5.90835852945E+06
  28.00   32.00    2.38820876999E+06    3.14902841129E+06
  32.00   37.00    1.30676597222E+06    1.68968447092E+06
  37.00   43.00    6.80541495802E+05    8.69801103499E+05
  43.00   49.00    3.60324338784E+05    4.49539075747E+05
  49.00   56.00    1.96618967649E+05    2.43047278511E+05
  56.00   64.00    1.05514019496E+05    1.29506399950E+05
  64.00   74.00    5.45453237433E+04    6.56944369844E+04
  74.00   84.00    2.82055204801E+04    3.35692901336E+04
  84.00   97.00    1.45559563376E+04    1.72127027491E+04
  97.00   114.0    6.80897558532E+03    7.95741643131E+03
  114.0   133.0    3.04366534814E+03    3.52320601200E+03
  133.0   153.0    1.41397087970E+03    1.62731090977E+03
  153.0   174.0    6.93086913229E+02    7.91207911341E+02
  174.0   196.0    3.55208331502E+02    4.03984852516E+02
  196.0   220.0    1.86816499080E+02    2.11628831674E+02
  220.0   245.0    1.00305709060E+02    1.13289261795E+02
  245.0   272.0    5.50554752146E+01    6.20774832084E+01
  272.0   300.0    3.07589267674E+01    3.45752011723E+01
  300.0   330.0    1.75055683680E+01    1.96149214754E+01
  330.0   362.0    1.00347498750E+01    1.12465538819E+01
  362.0   395.0    5.83855614990E+00    6.53930787054E+00
  395.0   430.0    3.44969717942E+00    3.86087539867E+00
  430.0   468.0    2.03749288366E+00    2.27970599622E+00
  468.0   507.0    1.21020000941E+00    1.35535009545E+00
  507.0   548.0    7.28678617074E-01    8.17882874183E-01
  548.0   592.0    4.38823672207E-01    4.92396280122E-01
  592.0   638.0    2.64157486788E-01    2.96846774393E-01
  638.0   686.0    1.59925764246E-01    1.79820871506E-01
  686.0   737.0    9.68728603017E-02    1.09292599802E-01
  737.0   790.0    5.86371984779E-02    6.61790862784E-02
  790.0   846.0    3.54820559449E-02    4.01677938416E-02
  846.0   905.0    2.13547492405E-02    2.42224944826E-02
  905.0   967.0    1.27791851972E-02    1.45447233590E-02
  967.0   1032.    7.60079113023E-03    8.67159272553E-03
  1032.   1101.    4.47376461230E-03    5.12430911773E-03
  1101.   1172.    2.61035088292E-03    3.00007749335E-03
  1172.   1248.    1.50639263219E-03    1.73690380746E-03
  1248.   1327.    8.53218160824E-04    9.88117446452E-04
  1327.   1410.    4.76245571278E-04    5.54130550030E-04
  1410.   1497.    2.60372670002E-04    3.04733746167E-04
  1497.   1588.    1.39155024296E-04    1.63563314557E-04
  1588.   1784.    5.39567899109E-05    6.39111960885E-05
  1784.   2116.    9.56473360306E-06    1.15073527179E-05
  2116.   2500.    7.29343441079E-07    9.00160945907E-07
  2500.   3000.    2.46164374121E-08    3.14324393835E-08
