 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.39734976039E+07    1.96780280441E+07
  21.00   24.00    7.57656925478E+06    1.04059262523E+07
  24.00   28.00    4.08118387289E+06    5.59707424630E+06
  28.00   32.00    2.16231289913E+06    2.97177444665E+06
  32.00   37.00    1.16247639428E+06    1.59030296819E+06
  37.00   43.00    5.94825848992E+05    8.15088631938E+05
  43.00   49.00    3.10295622793E+05    4.21146614112E+05
  49.00   56.00    1.67191464927E+05    2.27186667067E+05
  56.00   64.00    8.86543956673E+04    1.20710565383E+05
  64.00   74.00    4.53346451962E+04    6.12775105171E+04
  74.00   84.00    2.32203607853E+04    3.13088462607E+04
  84.00   97.00    1.18730447512E+04    1.60265286082E+04
  97.00   114.0    5.50163836173E+03    7.40551983577E+03
  114.0   133.0    2.43746633985E+03    3.27683667151E+03
  133.0   153.0    1.12363852917E+03    1.51172895099E+03
  153.0   174.0    5.47378403712E+02    7.35065409877E+02
  174.0   196.0    2.79096041354E+02    3.75126677241E+02
  196.0   220.0    1.46129884937E+02    1.96453785053E+02
  220.0   245.0    7.81459424542E+01    1.05125619221E+02
  245.0   272.0    4.27389053034E+01    5.75685061002E+01
  272.0   300.0    2.38002914809E+01    3.20591553572E+01
  300.0   330.0    1.35053210807E+01    1.81858534287E+01
  330.0   362.0    7.72043571925E+00    1.04182263386E+01
  362.0   395.0    4.48072766689E+00    6.05437311120E+00
  395.0   430.0    2.64129052771E+00    3.57310165502E+00
  430.0   468.0    1.55652141909E+00    2.10868856511E+00
  468.0   507.0    9.22495140588E-01    1.25261163318E+00
  507.0   548.0    5.54271585069E-01    7.55030386857E-01
  548.0   592.0    3.33083210394E-01    4.54300070233E-01
  592.0   638.0    2.00070633584E-01    2.73611606881E-01
  638.0   686.0    1.20860228687E-01    1.65611921161E-01
  686.0   737.0    7.30451160928E-02    1.00504831142E-01
  737.0   790.0    4.41116384923E-02    6.08055190293E-02
  790.0   846.0    2.66278925272E-02    3.68519424213E-02
  846.0   905.0    1.59848191977E-02    2.21946745741E-02
  905.0   967.0    9.53964713208E-03    1.33038679586E-02
  967.0   1032.    5.65752803826E-03    7.91930064461E-03
  1032.   1101.    3.31963862483E-03    4.67014456054E-03
  1101.   1172.    1.93053923303E-03    2.72878982674E-03
  1172.   1248.    1.11016427103E-03    1.57653141656E-03
  1248.   1327.    6.26416204170E-04    8.94734603241E-04
  1327.   1410.    3.48248038242E-04    5.00437883843E-04
  1410.   1497.    1.89578996990E-04    2.74378874288E-04
  1497.   1588.    1.00858946329E-04    1.46854385782E-04
  1588.   1784.    3.88501677472E-05    5.71249732236E-05
  1784.   2116.    6.80496046388E-06    1.01954179460E-05
  2116.   2500.    5.09683347020E-07    7.86406114135E-07
  2500.   3000.    1.68538010137E-08    2.69717404819E-08
