 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.44321178245E+07    2.28005355393E+07
  21.00   24.00    1.30243476010E+07    1.17572805818E+07
  24.00   28.00    6.90741158496E+06    6.31871374479E+06
  28.00   32.00    3.60428992380E+06    3.36057856551E+06
  32.00   37.00    1.91165176873E+06    1.79072396937E+06
  37.00   43.00    9.65561769192E+05    9.19401181405E+05
  43.00   49.00    4.97402591237E+05    4.71036970621E+05
  49.00   56.00    2.65111716795E+05    2.54278728141E+05
  56.00   64.00    1.39106443531E+05    1.35240452854E+05
  64.00   74.00    7.03714078320E+04    6.82068481702E+04
  74.00   84.00    3.56895963830E+04    3.47685455053E+04
  84.00   97.00    1.80854862670E+04    1.78048250771E+04
  97.00   114.0    8.29971559665E+03    8.20769563591E+03
  114.0   133.0    3.64221725797E+03    3.62727389560E+03
  133.0   153.0    1.66402278809E+03    1.67267976175E+03
  153.0   174.0    8.04004048173E+02    8.11385127772E+02
  174.0   196.0    4.07243504712E+02    4.14106846984E+02
  196.0   220.0    2.11905824294E+02    2.16752711506E+02
  220.0   245.0    1.12664868595E+02    1.15945489026E+02
  245.0   272.0    6.13079085349E+01    6.35123218180E+01
  272.0   300.0    3.39783847790E+01    3.53512571344E+01
  300.0   330.0    1.91931805335E+01    2.00372240568E+01
  330.0   362.0    1.09241246806E+01    1.14841556116E+01
  362.0   395.0    6.31400369714E+00    6.67378833282E+00
  395.0   430.0    3.70766907300E+00    3.93836547786E+00
  430.0   468.0    2.17693211924E+00    2.32445249500E+00
  468.0   507.0    1.28570902653E+00    1.38150742598E+00
  507.0   548.0    7.70007528252E-01    8.33538685418E-01
  548.0   592.0    4.61297040660E-01    5.01559194721E-01
  592.0   638.0    2.76261805409E-01    3.02291422806E-01
  638.0   686.0    1.66416857298E-01    1.83043368424E-01
  686.0   737.0    1.00305406843E-01    1.11233006445E-01
  737.0   790.0    6.04133243053E-02    6.73123514825E-02
  790.0   846.0    3.63755317468E-02    4.08442563027E-02
  846.0   905.0    2.17826427161E-02    2.46200652708E-02
  905.0   967.0    1.29688738676E-02    1.47771278280E-02
  967.0   1032.    7.67360558437E-03    8.80512822188E-03
  1032.   1101.    4.49257227164E-03    5.20043668419E-03
  1101.   1172.    2.60702724663E-03    3.04278627515E-03
  1172.   1248.    1.49605127321E-03    1.76023786753E-03
  1248.   1327.    8.42425794793E-04    1.00070948321E-03
  1327.   1410.    4.67404897071E-04    5.60704041355E-04
  1410.   1497.    2.53953798770E-04    3.08080601749E-04
  1497.   1588.    1.34853820924E-04    1.65167700634E-04
  1588.   1784.    5.18179750997E-05    6.44293173097E-05
  1784.   2116.    9.04156748678E-06    1.15604658362E-05
  2116.   2500.    6.73936904551E-07    8.98916322019E-07
  2500.   3000.    2.21836580747E-08    3.11271799494E-08
