 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.12236129363E+07    2.24622161873E+07
  21.00   24.00    1.11639197096E+07    1.16916852288E+07
  24.00   28.00    5.85122205455E+06    6.25960502324E+06
  28.00   32.00    3.01938503000E+06    3.31585782685E+06
  32.00   37.00    1.58587842100E+06    1.76440937937E+06
  37.00   43.00    7.93459535790E+05    9.01754126691E+05
  43.00   49.00    4.05342480432E+05    4.62680906926E+05
  49.00   56.00    2.14492555153E+05    2.48847880933E+05
  56.00   64.00    1.11814592544E+05    1.31821796445E+05
  64.00   74.00    5.62064928884E+04    6.65353273028E+04
  74.00   84.00    2.83206420014E+04    3.38331649666E+04
  84.00   97.00    1.42757176777E+04    1.72694378639E+04
  97.00   114.0    6.51514763324E+03    7.94761812305E+03
  114.0   133.0    2.84332923027E+03    3.50316802530E+03
  133.0   153.0    1.29365412830E+03    1.61125009064E+03
  153.0   174.0    6.22963001733E+02    7.80776529017E+02
  174.0   196.0    3.14427694285E+02    3.97391242314E+02
  196.0   220.0    1.63135989387E+02    2.07580141455E+02
  220.0   245.0    8.65193720024E+01    1.10825087706E+02
  245.0   272.0    4.69643718483E+01    6.05661798409E+01
  272.0   300.0    2.59733433173E+01    3.36616575597E+01
  300.0   330.0    1.46451365406E+01    1.90582124304E+01
  330.0   362.0    8.32210030931E+00    1.09012536488E+01
  362.0   395.0    4.80276176459E+00    6.32506131463E+00
  395.0   430.0    2.81617884430E+00    3.72733801292E+00
  430.0   468.0    1.65111541544E+00    2.19659208343E+00
  468.0   507.0    9.73737996271E-01    1.30307289290E+00
  507.0   548.0    5.82322523049E-01    7.84512636901E-01
  548.0   592.0    3.48334838229E-01    4.71390517964E-01
  592.0   638.0    2.08282014605E-01    2.83561384018E-01
  638.0   686.0    1.25260341040E-01    1.71415154017E-01
  686.0   737.0    7.53694382841E-02    1.03908278766E-01
  737.0   790.0    4.53135149079E-02    6.27770203497E-02
  790.0   846.0    2.72320083167E-02    3.80019481485E-02
  846.0   905.0    1.62737632648E-02    2.28581776140E-02
  905.0   967.0    9.66752931822E-03    1.36836019231E-02
  967.0   1032.    5.70651526171E-03    8.13377133778E-03
  1032.   1101.    3.33225183856E-03    4.78974704051E-03
  1101.   1172.    1.92829898817E-03    2.79447141445E-03
  1172.   1248.    1.10324744129E-03    1.61180010073E-03
  1248.   1327.    6.19224343639E-04    9.13263604196E-04
  1327.   1410.    3.42379348753E-04    5.09886427253E-04
  1410.   1497.    1.85333361975E-04    2.79044415959E-04
  1497.   1588.    9.80244234124E-05    1.49039335294E-04
  1588.   1784.    3.74484918351E-05    5.78012867616E-05
  1784.   2116.    6.46558303433E-06    1.02583122007E-05
  2116.   2500.    4.74256629625E-07    7.84334347324E-07
  2500.   3000.    1.53213693327E-08    2.66101374322E-08
