 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.09107479689E+07    2.21571430445E+07
  21.00   24.00    1.09859593902E+07    1.15162288468E+07
  24.00   28.00    5.75077223766E+06    6.15528231268E+06
  28.00   32.00    2.96391629867E+06    3.25464497049E+06
  32.00   37.00    1.55523806183E+06    1.72957049580E+06
  37.00   43.00    7.77425467461E+05    8.82641401841E+05
  43.00   49.00    3.96925558931E+05    4.52396505576E+05
  49.00   56.00    2.09991582664E+05    2.43129535823E+05
  56.00   64.00    1.09463093853E+05    1.28733195955E+05
  64.00   74.00    5.50626911334E+04    6.49782852564E+04
  74.00   84.00    2.77950852932E+04    3.30863298194E+04
  84.00   97.00    1.40360798465E+04    1.69133394588E+04
  97.00   114.0    6.42490100737E+03    7.80377779965E+03
  114.0   133.0    2.81535470923E+03    3.45250699256E+03
  133.0   153.0    1.28677017482E+03    1.59486661699E+03
  153.0   174.0    6.22934821468E+02    7.76840997302E+02
  174.0   196.0    3.16204766197E+02    3.97641346639E+02
  196.0   220.0    1.65031902163E+02    2.08958317891E+02
  220.0   245.0    8.80540945816E+01    1.12246011825E+02
  245.0   272.0    4.80861643422E+01    6.17247844874E+01
  272.0   300.0    2.67542851920E+01    3.45187002385E+01
  300.0   330.0    1.51751593178E+01    1.96637612429E+01
  330.0   362.0    8.67441181344E+00    1.13174959509E+01
  362.0   395.0    5.03514906832E+00    6.60624547221E+00
  395.0   430.0    2.96884563156E+00    3.91554603571E+00
  430.0   468.0    1.75006439872E+00    2.32065819418E+00
  468.0   507.0    1.03751641222E+00    1.38420917965E+00
  507.0   548.0    6.23558779575E-01    8.37679559683E-01
  548.0   592.0    3.74817899747E-01    5.05897284846E-01
  592.0   638.0    2.25197038846E-01    3.05827334743E-01
  638.0   686.0    1.36076243128E-01    1.85775670845E-01
  686.0   737.0    8.22676097926E-02    1.13160767493E-01
  737.0   790.0    4.97007209200E-02    6.87024437158E-02
  790.0   846.0    3.00178673408E-02    4.17957207133E-02
  846.0   905.0    1.80339955642E-02    2.52730496989E-02
  905.0   967.0    1.07749638493E-02    1.52158227287E-02
  967.0   1032.    6.40073781822E-03    9.10022690304E-03
  1032.   1101.    3.76455022858E-03    5.39666255338E-03
  1101.   1172.    2.19631283390E-03    3.17389176349E-03
  1172.   1248.    1.26842400433E-03    1.84758973408E-03
  1248.   1327.    7.19800933361E-04    1.05816508714E-03
  1327.   1410.    4.03087582085E-04    5.98298120567E-04
  1410.   1497.    2.21462865663E-04    3.32264409608E-04
  1497.   1588.    1.19179447945E-04    1.80582425744E-04
  1588.   1784.    4.68396162803E-05    7.20656393118E-05
  1784.   2116.    8.60081256535E-06    1.36207093284E-05
  2116.   2500.    7.12908998118E-07    1.18214470280E-06
  2500.   3000.    2.82201943749E-08    4.96738100634E-08
