 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.41446932271E+07    2.25234261514E+07
  21.00   24.00    1.28494593817E+07    1.15958253717E+07
  24.00   28.00    6.80285530781E+06    6.22035764536E+06
  28.00   32.00    3.54344125930E+06    3.30182551466E+06
  32.00   37.00    1.87642142378E+06    1.75686217906E+06
  37.00   43.00    9.46273054969E+05    9.00489389866E+05
  43.00   49.00    4.86917366084E+05    4.60835714221E+05
  49.00   56.00    2.59314589350E+05    2.48525853204E+05
  56.00   64.00    1.36008267826E+05    1.32126530258E+05
  64.00   74.00    6.88182770987E+04    6.66271240712E+04
  74.00   84.00    3.49278713213E+04    3.39803066321E+04
  84.00   97.00    1.77241645795E+04    1.74251910090E+04
  97.00   114.0    8.15414361069E+03    8.05102245661E+03
  114.0   133.0    3.59074017170E+03    3.56954087376E+03
  133.0   153.0    1.64824372611E+03    1.65360358494E+03
  153.0   174.0    8.00855308201E+02    8.06503653275E+02
  174.0   196.0    4.07814543151E+02    4.13759655036E+02
  196.0   220.0    2.13456948059E+02    2.17828027827E+02
  220.0   245.0    1.14193819468E+02    1.17228717565E+02
  245.0   272.0    6.25124553915E+01    6.45969313317E+01
  272.0   300.0    3.48597150151E+01    3.61733635859E+01
  300.0   330.0    1.98146597912E+01    2.06303858745E+01
  330.0   362.0    1.13495614406E+01    1.18992157215E+01
  362.0   395.0    6.60086209780E+00    6.95758837132E+00
  395.0   430.0    3.89932851272E+00    4.13001416027E+00
  430.0   468.0    2.30285280876E+00    2.45174953884E+00
  468.0   507.0    1.36777831364E+00    1.46526154916E+00
  507.0   548.0    8.23557443001E-01    8.88713678342E-01
  548.0   592.0    4.95959872864E-01    5.37512909585E-01
  592.0   638.0    2.98554479426E-01    3.25573336119E-01
  638.0   686.0    1.80758870853E-01    1.98103968788E-01
  686.0   737.0    1.09504552887E-01    1.20971305728E-01
  737.0   790.0    6.62975516171E-02    7.35669383491E-02
  790.0   846.0    4.01322850517E-02    4.48619068767E-02
  846.0   905.0    2.41686581556E-02    2.71848253320E-02
  905.0   967.0    1.44776464657E-02    1.64098350751E-02
  967.0   1032.    8.62424291444E-03    9.83743636330E-03
  1032.   1101.    5.08764365741E-03    5.85083279359E-03
  1101.   1172.    2.97795090131E-03    3.45068157201E-03
  1172.   1248.    1.72594332575E-03    2.01455810006E-03
  1248.   1327.    9.83253087594E-04    1.15755090102E-03
  1327.   1410.    5.52966064709E-04    6.56825360158E-04
  1410.   1497.    3.05236356303E-04    3.66223677349E-04
  1497.   1588.    1.65109808415E-04    1.99812298600E-04
  1588.   1784.    6.54028866130E-05    8.02296471630E-05
  1784.   2116.    1.21955960676E-05    1.53494664690E-05
  2116.   2500.    1.03787710149E-06    1.36035900044E-06
  2500.   3000.    4.26076971982E-08    5.89001280818E-08
