 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.92810242283E+07    2.30034638248E+07
  21.00   24.00    1.06003744013E+07    1.19028290851E+07
  24.00   28.00    5.77477373068E+06    6.36451023124E+06
  28.00   32.00    3.08883766643E+06    3.35907190686E+06
  32.00   37.00    1.67352454993E+06    1.78326845429E+06
  37.00   43.00    8.62864146432E+05    9.11018669725E+05
  43.00   49.00    4.52778734124E+05    4.65525469271E+05
  49.00   56.00    2.45174412213E+05    2.50376279733E+05
  56.00   64.00    1.30613661894E+05    1.32875898889E+05
  64.00   74.00    6.70861640022E+04    6.68946878855E+04
  74.00   84.00    3.45203586477E+04    3.40617528664E+04
  84.00   97.00    1.77366565424E+04    1.74433130049E+04
  97.00   114.0    8.26735221864E+03    8.04785525088E+03
  114.0   133.0    3.68710510412E+03    3.56332361508E+03
  133.0   153.0    1.71134370680E+03    1.64925713152E+03
  153.0   174.0    8.39480176488E+02    8.03698927125E+02
  174.0   196.0    4.31038935369E+02    4.12112362682E+02
  196.0   220.0    2.27297534151E+02    2.16873570975E+02
  220.0   245.0    1.22430068467E+02    1.16682389059E+02
  245.0   272.0    6.74399493208E+01    6.42940326288E+01
  272.0   300.0    3.78249250608E+01    3.59954095714E+01
  300.0   330.0    2.16150950156E+01    2.05253948727E+01
  330.0   362.0    1.24435798509E+01    1.18418914776E+01
  362.0   395.0    7.27169188470E+00    6.92530326379E+00
  395.0   430.0    4.31488916670E+00    4.11126484912E+00
  430.0   468.0    2.55939053325E+00    2.44116338980E+00
  468.0   507.0    1.52657590822E+00    1.45959877599E+00
  507.0   548.0    9.22883371732E-01    8.85846223413E-01
  548.0   592.0    5.57990176551E-01    5.35962395679E-01
  592.0   638.0    3.37227779793E-01    3.24812822120E-01
  638.0   686.0    2.04973221236E-01    1.97735483803E-01
  686.0   737.0    1.24659022039E-01    1.20858530003E-01
  737.0   790.0    7.57697489928E-02    7.35388704120E-02
  790.0   846.0    4.60487658098E-02    4.48838659026E-02
  846.0   905.0    2.78451378372E-02    2.72180570173E-02
  905.0   967.0    1.67504045929E-02    1.64476161041E-02
  967.0   1032.    1.00219213867E-02    9.86902047946E-03
  1032.   1101.    5.93940873132E-03    5.87692528147E-03
  1101.   1172.    3.49333458422E-03    3.47002876162E-03
  1172.   1248.    2.03498172381E-03    2.02836882868E-03
  1248.   1327.    1.16564904814E-03    1.16703209193E-03
  1327.   1410.    6.59359109682E-04    6.63237292550E-04
  1410.   1497.    3.66237709601E-04    3.70437704095E-04
  1497.   1588.    1.99440083019E-04    2.02444479010E-04
  1588.   1784.    7.97981040027E-05    8.15059632919E-05
  1784.   2116.    1.51680917977E-05    1.56823633912E-05
  2116.   2500.    1.33282847962E-06    1.40447190139E-06
  2500.   3000.    5.71434028982E-08    6.18359163951E-08
