 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.42626260118E+07    2.03698776047E+07
  21.00   24.00    7.91866418808E+06    1.07779720547E+07
  24.00   28.00    4.35274229385E+06    5.81781118539E+06
  28.00   32.00    2.34837115745E+06    3.09417756872E+06
  32.00   37.00    1.28219223491E+06    1.65746623716E+06
  37.00   43.00    6.66224716056E+05    8.51641266215E+05
  43.00   49.00    3.52064129870E+05    4.39575011537E+05
  49.00   56.00    1.91821937636E+05    2.37395329282E+05
  56.00   64.00    1.02801291505E+05    1.26390775014E+05
  64.00   74.00    5.31117207075E+04    6.41004252795E+04
  74.00   84.00    2.74817429804E+04    3.27887006625E+04
  84.00   97.00    1.41930162638E+04    1.68330139495E+04
  97.00   114.0    6.65223550303E+03    7.79975487462E+03
  114.0   133.0    2.98319078196E+03    3.46531594820E+03
  133.0   153.0    1.39144523623E+03    1.60721239509E+03
  153.0   174.0    6.85485815550E+02    7.85387141439E+02
  174.0   196.0    3.53303645995E+02    4.03249428454E+02
  196.0   220.0    1.86947606816E+02    2.12498373038E+02
  220.0   245.0    1.01016093868E+02    1.14449330386E+02
  245.0   272.0    5.58062943796E+01    6.31038932934E+01
  272.0   300.0    3.13846650312E+01    3.53668982583E+01
  300.0   330.0    1.79796781354E+01    2.01887901452E+01
  330.0   362.0    1.03752129715E+01    1.16483089492E+01
  362.0   395.0    6.07641301302E+00    6.81440311934E+00
  395.0   430.0    3.61307086412E+00    4.04690615354E+00
  430.0   468.0    2.14735255061E+00    2.40346571871E+00
  468.0   507.0    1.28323195089E+00    1.43690386275E+00
  507.0   548.0    7.77143010211E-01    8.71684802640E-01
  548.0   592.0    4.70671411962E-01    5.27519792465E-01
  592.0   638.0    2.84921217810E-01    3.19626553547E-01
  638.0   686.0    1.73449748159E-01    1.94582557160E-01
  686.0   737.0    1.05644763266E-01    1.18848360455E-01
  737.0   790.0    6.43048217051E-02    7.23233856809E-02
  790.0   846.0    3.91348352433E-02    4.41175030042E-02
  846.0   905.0    2.36959483332E-02    2.67461679894E-02
  905.0   967.0    1.42728403640E-02    1.61526301827E-02
  967.0   1032.    8.55023053386E-03    9.68934445961E-03
  1032.   1101.    5.07336917075E-03    5.76614860188E-03
  1101.   1172.    2.98746418978E-03    3.40300976199E-03
  1172.   1248.    1.74227070023E-03    1.98842045806E-03
  1248.   1327.    9.99091115100E-04    1.14338750053E-03
  1327.   1410.    5.65751585056E-04    6.49397570462E-04
  1410.   1497.    3.14572755171E-04    3.62427264794E-04
  1497.   1588.    1.71479561221E-04    1.97987787010E-04
  1588.   1784.    6.87022384222E-05    7.96480553565E-05
  1784.   2116.    1.30863931419E-05    1.52998065547E-05
  2116.   2500.    1.15291865931E-06    1.36663120027E-06
  2500.   3000.    4.95512836920E-08    5.99425217876E-08
