 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.58009460346E+07    2.40650533138E+07
  21.00   24.00    1.37304967989E+07    1.23816713845E+07
  24.00   28.00    7.26507294353E+06    6.64277363400E+06
  28.00   32.00    3.78014108578E+06    3.52310026805E+06
  32.00   37.00    1.99884833622E+06    1.87240287432E+06
  37.00   43.00    1.00603555125E+06    9.57784897639E+05
  43.00   49.00    5.16483155101E+05    4.89080475426E+05
  49.00   56.00    2.74396956759E+05    2.63200668183E+05
  56.00   64.00    1.43522095412E+05    1.39552485193E+05
  64.00   74.00    7.23886853084E+04    7.01566606102E+04
  74.00   84.00    3.66119099734E+04    3.56674362482E+04
  84.00   97.00    1.85095230193E+04    1.82209712159E+04
  97.00   114.0    8.47598555855E+03    8.38157818287E+03
  114.0   133.0    3.71219662880E+03    3.69653749622E+03
  133.0   153.0    1.69429823951E+03    1.70292943019E+03
  153.0   174.0    8.18447636788E+02    8.25863047692E+02
  174.0   196.0    4.14284426465E+02    4.21239528234E+02
  196.0   220.0    2.15485630209E+02    2.20408881409E+02
  220.0   245.0    1.14513552104E+02    1.17857909175E+02
  245.0   272.0    6.22503947833E+01    6.45013192240E+01
  272.0   300.0    3.44577676934E+01    3.58606717226E+01
  300.0   330.0    1.94348254791E+01    2.03004526674E+01
  330.0   362.0    1.10403926892E+01    1.16144443673E+01
  362.0   395.0    6.36567895423E+00    6.73462891280E+00
  395.0   430.0    3.72677272342E+00    3.96352182119E+00
  430.0   468.0    2.18001694129E+00    2.33120548288E+00
  468.0   507.0    1.28188908026E+00    1.37991947391E+00
  507.0   548.0    7.63944112888E-01    8.28746201043E-01
  548.0   592.0    4.55132524897E-01    4.96084976705E-01
  592.0   638.0    2.70907968840E-01    2.97283451806E-01
  638.0   686.0    1.62129208102E-01    1.78903596694E-01
  686.0   737.0    9.70487553112E-02    1.08008079022E-01
  737.0   790.0    5.80316671560E-02    6.49158211664E-02
  790.0   846.0    3.46828511465E-02    3.91111441369E-02
  846.0   905.0    2.06114172283E-02    2.34042337334E-02
  905.0   967.0    1.21777086403E-02    1.39431033386E-02
  967.0   1032.    7.15096700401E-03    8.24710340469E-03
  1032.   1101.    4.15565003580E-03    4.83561718390E-03
  1101.   1172.    2.39458228581E-03    2.80932616008E-03
  1172.   1248.    1.36521956866E-03    1.61447593859E-03
  1248.   1327.    7.64278247869E-04    9.12263864104E-04
  1327.   1410.    4.21993049786E-04    5.08398286746E-04
  1410.   1497.    2.28448902038E-04    2.78163929661E-04
  1497.   1588.    1.21062730692E-04    1.48664384127E-04
  1588.   1784.    4.65622455587E-05    5.79507971301E-05
  1784.   2116.    8.24223149906E-06    1.05061183077E-05
  2116.   2500.    6.52151123139E-07    8.61461765161E-07
  2500.   3000.    2.47134789657E-08    3.42358265463E-08
