 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.90849651509E+07    2.29852684937E+07
  21.00   24.00    1.02567135543E+07    1.20007278214E+07
  24.00   28.00    5.47593039695E+06    6.42664242916E+06
  28.00   32.00    2.87390923100E+06    3.39709186847E+06
  32.00   37.00    1.53141911639E+06    1.80699652725E+06
  37.00   43.00    7.76757018017E+05    9.22136115183E+05
  43.00   49.00    4.01594339031E+05    4.72667880797E+05
  49.00   56.00    2.14683326505E+05    2.53915613469E+05
  56.00   64.00    1.12960087415E+05    1.34375249426E+05
  64.00   74.00    5.73091728473E+04    6.77405806601E+04
  74.00   84.00    2.91466465995E+04    3.44500816587E+04
  84.00   97.00    1.48113580171E+04    1.75791676251E+04
  97.00   114.0    6.82005036005E+03    8.09091347841E+03
  114.0   133.0    3.00346976884E+03    3.56821310180E+03
  133.0   153.0    1.37757800385E+03    1.64260218394E+03
  153.0   174.0    6.68308306735E+02    7.96923760583E+02
  174.0   196.0    3.39569356898E+02    4.06235940464E+02
  196.0   220.0    1.77231897004E+02    2.12499428549E+02
  220.0   245.0    9.44839326296E+01    1.13584634216E+02
  245.0   272.0    5.15118000587E+01    6.21282850650E+01
  272.0   300.0    2.85907384570E+01    3.45385562139E+01
  300.0   330.0    1.61660629114E+01    1.95524053704E+01
  330.0   362.0    9.20523963285E+00    1.11782847830E+01
  362.0   395.0    5.31931294864E+00    6.47882369785E+00
  395.0   430.0    3.12060475287E+00    3.81147834494E+00
  430.0   468.0    1.82905036801E+00    2.24078586500E+00
  468.0   507.0    1.07754716864E+00    1.32548627818E+00
  507.0   548.0    6.43301881339E-01    7.95328913242E-01
  548.0   592.0    3.83908948165E-01    4.75924399727E-01
  592.0   638.0    2.28887645955E-01    2.84997085608E-01
  638.0   686.0    1.37194582168E-01    1.71424342000E-01
  686.0   737.0    8.22457330688E-02    1.03383452443E-01
  737.0   790.0    4.92506439378E-02    6.21103412541E-02
  790.0   846.0    2.94753844585E-02    3.73850587424E-02
  846.0   905.0    1.75400870875E-02    2.23547811563E-02
  905.0   967.0    1.03764751774E-02    1.33048376733E-02
  967.0   1032.    6.10085592519E-03    7.86341738595E-03
  1032.   1101.    3.54969755489E-03    4.60574357057E-03
  1101.   1172.    2.04781839558E-03    2.67330088601E-03
  1172.   1248.    1.16884445055E-03    1.53495687586E-03
  1248.   1327.    6.55070236879E-04    8.66391291081E-04
  1327.   1410.    3.62082988812E-04    4.82319278402E-04
  1410.   1497.    1.96221299146E-04    2.63561801457E-04
  1497.   1588.    1.04090088689E-04    1.40732847946E-04
  1588.   1784.    4.00874341754E-05    5.47762992066E-05
  1784.   2116.    7.11091717999E-06    9.90403118710E-06
  2116.   2500.    5.64111338655E-07    8.08879187638E-07
  2500.   3000.    2.14295803871E-08    3.19742994581E-08
