 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.71766477693E+07    2.20875611380E+07
  21.00   24.00    9.08459315205E+06    1.15430092152E+07
  24.00   28.00    4.78255520414E+06    6.14853342378E+06
  28.00   32.00    2.47743312219E+06    3.23496213826E+06
  32.00   37.00    1.30534228131E+06    1.71541444243E+06
  37.00   43.00    6.54939701651E+05    8.71489006412E+05
  43.00   49.00    3.35384191456E+05    4.46304909713E+05
  49.00   56.00    1.77832168549E+05    2.38945634417E+05
  56.00   64.00    9.28613022881E+04    1.25989157905E+05
  64.00   74.00    4.67719271697E+04    6.34807437335E+04
  74.00   84.00    2.36284377275E+04    3.22200138088E+04
  84.00   97.00    1.19347491327E+04    1.63970584454E+04
  97.00   114.0    5.46096210830E+03    7.53438979632E+03
  114.0   133.0    2.39017470273E+03    3.31599680444E+03
  133.0   153.0    1.09037681816E+03    1.52286933851E+03
  153.0   174.0    5.26541500683E+02    7.37862553176E+02
  174.0   196.0    2.66466473393E+02    3.75434176552E+02
  196.0   220.0    1.38575308938E+02    1.96085284940E+02
  220.0   245.0    7.36317017322E+01    1.04649476516E+02
  245.0   272.0    4.00229155272E+01    5.71477162775E+01
  272.0   300.0    2.21525831523E+01    3.17339078904E+01
  300.0   330.0    1.24939044150E+01    1.79462356022E+01
  330.0   362.0    7.09727777456E+00    1.02433516371E+01
  362.0   395.0    4.09209624286E+00    5.92898913485E+00
  395.0   430.0    2.39570455764E+00    3.48378088875E+00
  430.0   468.0    1.40140045128E+00    2.04557219159E+00
  468.0   507.0    8.24048944777E-01    1.20818270605E+00
  507.0   548.0    4.91090314857E-01    7.23728295724E-01
  548.0   592.0    2.92569408802E-01    4.32578123225E-01
  592.0   638.0    1.74137343372E-01    2.58653549392E-01
  638.0   686.0    1.04206633824E-01    1.55377989246E-01
  686.0   737.0    6.23695067641E-02    9.35320508825E-02
  737.0   790.0    3.72883778109E-02    5.61189920880E-02
  790.0   846.0    2.22802228717E-02    3.37185930142E-02
  846.0   905.0    1.32364473275E-02    2.01301102249E-02
  905.0   967.0    7.81710264901E-03    1.19575874302E-02
  967.0   1032.    4.58784103271E-03    7.05450832246E-03
  1032.   1101.    2.66432613876E-03    4.12304276579E-03
  1101.   1172.    1.53396422816E-03    2.38823125730E-03
  1172.   1248.    8.73670478950E-04    1.36836434294E-03
  1248.   1327.    4.88493516781E-04    7.70524005851E-04
  1327.   1410.    2.69321862438E-04    4.27875000267E-04
  1410.   1497.    1.45538859297E-04    2.33146627460E-04
  1497.   1588.    7.69604525982E-05    1.24161365739E-04
  1588.   1784.    2.94924608626E-05    4.81220436789E-05
  1784.   2116.    5.17670466886E-06    8.62816420469E-06
  2116.   2500.    4.01898823977E-07    6.93902736767E-07
  2500.   3000.    1.46719973808E-08    2.66928868089E-08
