 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.06544783608E+07    2.45983768566E+07
  21.00   24.00    1.13665517533E+07    1.27156595820E+07
  24.00   28.00    6.19317941535E+06    6.79912858692E+06
  28.00   32.00    3.31104160394E+06    3.58442240813E+06
  32.00   37.00    1.79206421105E+06    1.90049071615E+06
  37.00   43.00    9.22497128782E+05    9.68839113815E+05
  43.00   49.00    4.83088704757E+05    4.93917307429E+05
  49.00   56.00    2.61006539395E+05    2.65063079235E+05
  56.00   64.00    1.38688344169E+05    1.40298206891E+05
  64.00   74.00    7.10176554599E+04    7.04022731460E+04
  74.00   84.00    3.64213682193E+04    3.57338767239E+04
  84.00   97.00    1.86463420190E+04    1.82299875351E+04
  97.00   114.0    8.65254188892E+03    8.37333246010E+03
  114.0   133.0    3.83871235092E+03    3.68777426028E+03
  133.0   153.0    1.77191967301E+03    1.69737885565E+03
  153.0   174.0    8.64302589857E+02    8.22425369256E+02
  174.0   196.0    4.41215602444E+02    4.19278472960E+02
  196.0   220.0    2.31244802477E+02    2.19291961365E+02
  220.0   245.0    1.23746574089E+02    1.17228856357E+02
  245.0   272.0    6.76975274800E+01    6.41564714432E+01
  272.0   300.0    3.76925446465E+01    3.56601280178E+01
  300.0   330.0    2.13738196987E+01    2.01841071636E+01
  330.0   362.0    1.22033501894E+01    1.15516467811E+01
  362.0   395.0    7.06941194524E+00    6.69980460836E+00
  395.0   430.0    4.15685833598E+00    3.94378469572E+00
  430.0   468.0    2.44173371287E+00    2.32025695310E+00
  468.0   507.0    1.44147880577E+00    1.37425848390E+00
  507.0   548.0    8.62235167706E-01    8.25982678354E-01
  548.0   592.0    5.15521969851E-01    4.94666307482E-01
  592.0   638.0    3.07915669404E-01    2.96652989273E-01
  638.0   686.0    1.84888812894E-01    1.78640827347E-01
  686.0   737.0    1.11027795172E-01    1.07974098340E-01
  737.0   790.0    6.65984170756E-02    6.49468486585E-02
  790.0   846.0    3.99246526553E-02    3.91740138875E-02
  846.0   905.0    2.37987780175E-02    2.34653498181E-02
  905.0   967.0    1.41038100520E-02    1.39984791125E-02
  967.0   1032.    8.30750889477E-03    8.29011265998E-03
  1032.   1101.    4.84293217301E-03    4.86851188435E-03
  1101.   1172.    2.79958309323E-03    2.83253271557E-03
  1172.   1248.    1.60141851380E-03    1.63035165698E-03
  1248.   1327.    8.99641196571E-04    9.22788913105E-04
  1327.   1410.    4.98554355321E-04    5.15198472834E-04
  1410.   1497.    2.70947418780E-04    2.82447230989E-04
  1497.   1588.    1.44186628607E-04    1.51225330370E-04
  1588.   1784.    5.58083351066E-05    5.91144657489E-05
  1784.   2116.    1.00070273989E-05    1.07734299581E-05
  2116.   2500.    8.12098394544E-07    8.90785251982E-07
  2500.   3000.    3.22159998012E-08    3.58812578235E-08
