 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.52786221739E+07    2.17930927150E+07
  21.00   24.00    8.49101519157E+06    1.15263423294E+07
  24.00   28.00    4.66811541985E+06    6.22198341684E+06
  28.00   32.00    2.51730642678E+06    3.30596391573E+06
  32.00   37.00    1.37301172048E+06    1.76877193005E+06
  37.00   43.00    7.12266971936E+05    9.07011205559E+05
  43.00   49.00    3.75631650222E+05    4.67100947228E+05
  49.00   56.00    2.04208575402E+05    2.51700082330E+05
  56.00   64.00    1.09156436882E+05    1.33651179185E+05
  64.00   74.00    5.62241660547E+04    6.75661901963E+04
  74.00   84.00    2.89951027982E+04    3.44496849102E+04
  84.00   97.00    1.49209271900E+04    1.76190617046E+04
  97.00   114.0    6.96215774431E+03    8.12743557528E+03
  114.0   133.0    3.10584719816E+03    3.59174162503E+03
  133.0   153.0    1.44069491789E+03    1.65658194482E+03
  153.0   174.0    7.05753502753E+02    8.04892343850E+02
  174.0   196.0    3.61644397160E+02    4.10867365668E+02
  196.0   220.0    1.90193826525E+02    2.15183168831E+02
  220.0   245.0    1.02102166784E+02    1.15149181265E+02
  245.0   272.0    5.60193466519E+01    6.30564976969E+01
  272.0   300.0    3.12747753442E+01    3.50849178539E+01
  300.0   330.0    1.77789542476E+01    1.98783288747E+01
  330.0   362.0    1.01748977540E+01    1.13765081328E+01
  362.0   395.0    5.90737360182E+00    6.59974569059E+00
  395.0   430.0    3.48073840620E+00    3.88573435708E+00
  430.0   468.0    2.04863403191E+00    2.28630211475E+00
  468.0   507.0    1.21169788139E+00    1.35374029061E+00
  507.0   548.0    7.26071161306E-01    8.13126559482E-01
  548.0   592.0    4.34848275213E-01    4.86979826168E-01
  592.0   638.0    2.60155226277E-01    2.91901130433E-01
  638.0   686.0    1.56453941916E-01    1.75734657384E-01
  686.0   737.0    9.40925608924E-02    1.06110912348E-01
  737.0   790.0    5.65211417368E-02    6.38110128816E-02
  790.0   846.0    3.39301657155E-02    3.84534106026E-02
  846.0   905.0    2.02525023799E-02    2.30184953261E-02
  905.0   967.0    1.20176862526E-02    1.37181643640E-02
  967.0   1032.    7.08756321542E-03    8.11799241242E-03
  1032.   1101.    4.13676555348E-03    4.76207284487E-03
  1101.   1172.    2.39417101326E-03    2.76802521329E-03
  1172.   1248.    1.37106864100E-03    1.59182048482E-03
  1248.   1327.    7.71091368027E-04    8.99980794745E-04
  1327.   1410.    4.27775079209E-04    5.01920187698E-04
  1410.   1497.    2.32724570807E-04    2.74809218978E-04
  1497.   1588.    1.23972128144E-04    1.47016642665E-04
  1588.   1784.    4.80478619775E-05    5.73902641911E-05
  1784.   2116.    8.63351330811E-06    1.04361636618E-05
  2116.   2500.    7.02469780014E-07    8.60875648068E-07
  2500.   3000.    2.79354323962E-08    3.46172562593E-08
