 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.22756189458E+07    2.36859837710E+07
  21.00   24.00    1.16959246322E+07    1.23055044626E+07
  24.00   28.00    6.11610613919E+06    6.57473695750E+06
  28.00   32.00    3.14766368023E+06    3.47285176950E+06
  32.00   37.00    1.64877822443E+06    1.84287743050E+06
  37.00   43.00    8.22363933044E+05    9.38465885057E+05
  43.00   49.00    4.18833054883E+05    4.79906000223E+05
  49.00   56.00    2.21013150032E+05    2.57317803192E+05
  56.00   64.00    1.14872910892E+05    1.35854733668E+05
  64.00   74.00    5.75920692428E+04    6.83593667451E+04
  74.00   84.00    2.89668726412E+04    3.46913469277E+04
  84.00   97.00    1.45714147869E+04    1.76651430914E+04
  97.00   114.0    6.63801566474E+03    8.11344007294E+03
  114.0   133.0    2.89248296462E+03    3.57013194405E+03
  133.0   153.0    1.31428851917E+03    1.63980861477E+03
  153.0   174.0    6.32462440428E+02    7.94115367881E+02
  174.0   196.0    3.19082252403E+02    4.04073754059E+02
  196.0   220.0    1.65471068469E+02    2.11012874033E+02
  220.0   245.0    8.76937401529E+01    1.12606865816E+02
  245.0   272.0    4.75521888360E+01    6.14936264023E+01
  272.0   300.0    2.62612620691E+01    3.41389101242E+01
  300.0   330.0    1.47805103680E+01    1.93004815077E+01
  330.0   362.0    8.37971854634E+00    1.10176875856E+01
  362.0   395.0    4.82262455111E+00    6.37701511764E+00
  395.0   430.0    2.81853578728E+00    3.74687847521E+00
  430.0   468.0    1.64601228486E+00    2.20003109423E+00
  468.0   507.0    9.66354288900E-01    1.29957213241E+00
  507.0   548.0    5.75042894951E-01    7.78682116783E-01
  548.0   592.0    3.42095701815E-01    4.65396984710E-01
  592.0   638.0    2.03334974416E-01    2.78326141027E-01
  638.0   686.0    1.21519409531E-01    1.67205699410E-01
  686.0   737.0    7.26398617267E-02    1.00690859512E-01
  737.0   790.0    4.33758821920E-02    6.04157089418E-02
  790.0   846.0    2.58873431118E-02    3.63132814357E-02
  846.0   905.0    1.53619947800E-02    2.16845152137E-02
  905.0   967.0    9.06244885825E-03    1.28859850316E-02
  967.0   1032.    5.31308743131E-03    7.60446354454E-03
  1032.   1101.    3.08231719689E-03    4.44656478550E-03
  1101.   1172.    1.77284417954E-03    2.57669959558E-03
  1172.   1248.    1.00874684983E-03    1.47693956850E-03
  1248.   1327.    5.63483149309E-04    8.32123028743E-04
  1327.   1410.    3.10380426224E-04    4.62340278985E-04
  1410.   1497.    1.67576187244E-04    2.52105334387E-04
  1497.   1588.    8.85363907400E-05    1.34327767454E-04
  1588.   1784.    3.38899671803E-05    5.21110214994E-05
  1784.   2116.    5.93791676397E-06    9.36049644375E-06
  2116.   2500.    4.59958103174E-07    7.55190352533E-07
  2500.   3000.    1.67560802296E-08    2.91938839413E-08
